Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,20.03.2025
KZ VN 5 110 01300,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700368,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

GESU3070407, seal 3556121-24
PONU0157778, seal 3556125-26
FCIU3762669, seal 3556129-32
PONU0908230, seal 3556133-34
FOLU2045960, seal 3556137-40
TGHU3235881, seal 3556141-42
KKTU7477493, seal 3556145-48
MICU6311599, seal 3556149-52",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,29.01.2025,29.01.2026
KZ VN 5 110 01298,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700367,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

XYLU1165212, seal 3556529-32
JZPU1090347, seal 3556533-36",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,29.01.2025,29.01.2026
KZ VN 5 110 00972,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700365,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

XYLU1165212, seal 3556529-32
JZPU1090347, seal 3556533-36",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,24.01.2025,24.01.2026
KZ VN 5 110 00975,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700366,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

GESU3070407, seal 3556121-24
PONU0157778, seal 3556125-26
FCIU3762669, seal 3556129-32
PONU0908230, seal 3556133-34
FOLU2045960, seal 3556137-40
TGHU3235881, seal 3556141-42
KKTU7477493, seal 3556145-48
MICU6311599, seal 3556149-52",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,24.01.2025,24.01.2026
KZ VN 5 110 00462,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700364,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION
3.2-5MM (90% MIN)

HS: 720221

XYLU1202390, seal 3556521-24
XYLU1262207, seal 3556525-28
JZPU1137444, seal 3556537-40
JZPU2147880, seal 3556541,42,44, 9974011
XYLU1212021, seal 3556545-48
XYLU1255240, seal 3556549-52
CBHU5911022, seal 3556553-56
TEMU4558721, seal 3556557-60",7202210000,Р,Республика Казахстан,Viet Nam,Действующий,15.01.2025,15.01.2026
KZ VN 4 102 15851,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600042,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22/8,Спрей VIP SPA-SKY 30 гр,2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,13.12.2024,13.12.2025
KZ VN 4 102 15698,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600040,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21",Toothpaste Luxury night 120 gr,3306100000,-,Китай,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15698,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600040,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21",Toothpaste Luxury day 160 gr,3306100000,-,Китай,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate «Perfecto LUX»,100ml,",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate""Vitality Lux"", 100ml,",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate""Smart Lux"" 100 ml",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate«Immuno Lux», 20 ml",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15477,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600039,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22/8,SPA SKY-53 concentrate (100 ml 1 piece),2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,06.12.2024,20.03.2025
KZ VN 4 110 11445,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700362,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","Ferrosilicon 68
fraction 3,2-5 (0-5) mm

HS: 720221

FCIU4256449, seal 9975113-16
MEDU3038698, seal 9975117-20
MSMU2300235, seal 9975121-24
TGBU2473327, seal 9975125-28
MEDU5918922, seal 9975129-32
MSMU2178702, seal 9975133-36",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,05.09.2024,10.01.2023
KZ VN 4 101 02295,"РПП ""Региональная палата предпринимателей города Астана""",«EAV»,1800054,120540001684.0,NavyCo LLP,"Kazakhstan, 010000, Nur-Sultan city, Esil district, 6/6 Gabanbai Batyr avenue, VP 3","Engine UTD20S1 (complected with gear box, starter and generator)",8710000000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,26.08.2024,10.01.2023
KZ VN 4 102 10105,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600022,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22 ж,SPA SKY-53 концентр (100 мл 1 литр),2106905800,PSR2106,Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.08.2024,03.01.2023
KZ VN 4 102 10106,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600023,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22 ж,Спрей VIP SPA-SKY 30 гр,2106905800,PSR2106,Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.08.2024,03.01.2023
KZ VN 4 102 08838,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600038,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22 ж,Spray VIP SPA-SKY 30 g,2106905800,PSR2106,Республика Казахстан,Viet Nam,Истек срок действия сертификата,17.07.2024,03.01.2023
KZ VN 4 102 08835,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600037,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22 ж,SPA SKY-53 concentrate (100 ml 1 piece),2106905800,PSR2106,Республика Казахстан,Viet Nam,Истек срок действия сертификата,16.07.2024,03.01.2023
KZ VN 4 101 01845,"РПП ""Региональная палата предпринимателей города Астана""",«EAV»,1800053,120540001684.0,NavyCo LLP,"Kazakhstan, 010000, Astana city, Yesilsky district, 6/6 Kabanbai Batyr avenue, VP 3","Engine UTD20S1 (complected with gear box, starter and generator)",8710000000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,11.07.2024,03.01.2023
KZ VN 4 110 07648,Палата предпринимателей Карагандинской области,«EAV»,1700359,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","Ferrosilicon 68
fraction 3,2-5 (0-5) mm

FCIU4256449, seal 9975113-16
MEDU3038698, seal 9975117-20
MSMU2300235, seal 9975121-24
TGBU2473327, seal 9975125-28
MEDU5918922, seal 9975129-32
MSMU2178702, seal 9975133-36",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,24.06.2024,03.01.2023
KZ VN 4 110 06935,Палата предпринимателей Карагандинской области,«EAV»,1700358,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","Ferrosilicon 68
fraction 3,2-5 (0-5) mm

On account of JFE Shoji Corporation
OTEMACHI FINANCIAL CITY North Tower 9-5, Otemachi 1-Chome, Chiyoda-ku, Tokyo 100-8070, Japan

FCIU4256449, seal 9975113-16
MEDU3038698, seal 9975117-20
MSMU2300235, seal 9975121-24
TGBU2473327, seal 9975125-28
MEDU5918922, seal 9975129-32
MSMU2178702, seal 9975133-36",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,06.06.2024,03.01.2023
KZ VN 4 110 06704,Палата предпринимателей Карагандинской области,«EAV»,1700357,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","Ferrosilicon 68
fraction 3,2-5 (0-5) mm
",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,30.05.2024,01.01.2023
KZ VN 4 101 01159,Палата предпринимателей города Астана,«EAV»,1800052,120540001684.0,NavyCo LLP,"Kazakhstan, 010000, Astana city, Yesilsky district, 6/6 Kabanbai Batyr avenue, VP 3","Engine UTD20S1 (complected with gear box, starter and generator)",8710000000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.05.2024,01.01.2023
KZ VN 3 101 02247,Региональная палата предпринимателей города Астана,«EAV»,1800048,81140011987.0,Logos Grain LLP,"13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan Wheat,
HS code: 1001 99 ",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,13.09.2023,01.01.2023
KZ VN 2 104 00663,Региональная палата предпринимателей Актюбинской области,«EAV»,1800153,950640000404.0,JSC «Aktyubinsk chromium chemicals plant»,"030015 Kazakhstan, Aktobe Industrial Zone, sector 15 B","Chromium Trioxide 
(Chromic Acid Solid)
Foreign trade statistic 
number: 2819100000 ",2819100000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,20.04.2022,31.12.2022
KZ VN 2 101 00280,Региональная палата предпринимателей города Нур-Султан,«EAV»,1800047,130940013991.0,ARMYTEX LLP,"Republic of Kazakhstan, 010000, Nur-Sultan, Constitution str, 22,  of.1",Parachute brаkе system ПТК-10СК for Su-27/Su-30,8804000000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,10.02.2022,31.12.2022
KZ VN 2 110 00178,Палата предпринимателей Карагандинской области,«EAV»,1600607,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL COILS-WASTE-WASTE



","7208539000, 7208540000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,10.01.2022,31.12.2022
KZ VN 2 110 00179,Палата предпринимателей Карагандинской области,«EAV»,1600608,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN",HOT ROLLED  STEEL SHEETS -OVERROLLING,"7208539000, 7208540000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,10.01.2022,31.12.2022
KZ VN 2 110 00097,Палата предпринимателей Карагандинской области,«EAV»,1600602,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL SHEETS-
OVERROLLING

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,25.12.2022
KZ VN 2 110 00095,Палата предпринимателей Карагандинской области,«EAV»,1600600,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL COILS-SECONDARY


","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,25.12.2022
KZ VN 2 110 00096,Палата предпринимателей Карагандинской области,«EAV»,1600601,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL COILS-
WASTE-WASTE


","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,25.12.2022
KZ VN 2 110 00101,Палата предпринимателей Карагандинской области,«EAV»,1600605,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT DIP GALVANIZED
COILS-OVERROLLING

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,26.12.2022
KZ VN 2 110 00098,Палата предпринимателей Карагандинской области,«EAV»,1600603,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL SHEETS-
OVERROLLING

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,27.12.2022
KZ VN 2 110 00099,Палата предпринимателей Карагандинской области,«EAV»,1600604,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED CHEQUERED
SHEETS-Overrolling

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,23.12.2022
KZ VN 2 110 00100,Палата предпринимателей Карагандинской области,«EAV»,1600606,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","Prime Hot Rolled Steel
Chequered Coils

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,03.01.2022,23.12.2022
KZ VN 2 110 00025,Палата предпринимателей Карагандинской области,«EAV»,1600598,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL SHEETS-SECONDARY

Size(mm)

","7208539000, 7208529900",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.01.2022,23.12.2022
KZ VN 2 110 00026,Палата предпринимателей Карагандинской области,«EAV»,1600599,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL SHEETS-SECONDARY

Size(mm)

","7208539000, 7208540000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.01.2022,22.12.2022
KZ VN 2 110 00001,Палата предпринимателей Карагандинской области,«EAV»,1600597,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED
SHEETS-SECONDARY
Size (mm)
1.50-3.90  800-1500  1800-6000

","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,01.01.2022,22.12.2022
KZ VN 1 110 13081,Палата предпринимателей Карагандинской области,«EAV»,1600593,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,31.12.2021,22.12.2022
KZ VN 1 110 13082,Палата предпринимателей Карагандинской области,«EAV»,1600594,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED
STEEL COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,31.12.2021,23.12.2022
KZ VN 1 110 13084,Палата предпринимателей Карагандинской области,«EAV»,1600596,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED
STEEL COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,31.12.2021,24.12.2022
KZ VN 1 110 13083,Палата предпринимателей Карагандинской области,«EAV»,1600595,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED
STEEL COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,31.12.2021,25.12.2022
KZ VN 1 110 12491,Палата предпринимателей Карагандинской области,«EAV»,1600578,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME COLD ROLLED 
STEEL COILS 


            ","7208390000, 7208370000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.12.2021,22.12.2022
KZ VN 1 110 12490,Палата предпринимателей Карагандинской области,«EAV»,1600577,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.12.2021,22.12.2022
KZ VN 1 110 12492,Палата предпринимателей Карагандинской области,«EAV»,1600579,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL COILS 
","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.12.2021,22.12.2022
KZ VN 1 110 12493,Палата предпринимателей Карагандинской области,«EAV»,1600580,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED 
STEEL COILS 
","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.12.2021,22.12.2022
KZ VN 1 110 12489,Палата предпринимателей Карагандинской области,«EAV»,1600576,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME HOT ROLLED STEEL
COILS 

","7208370000, 7208360000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,25.12.2021,22.12.2022
KZ VN 1 110 12355,Палата предпринимателей Карагандинской области,«EAV»,1600583,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","COLD ROLLED STEEL WASTE-WASTE SHEETS

HS CODE   Size(mm)  NET WEIGHT 
                                                       MT

Thickness  Width     Length  
72092710 0.5-1.0 850-1250 1300-3000 43.270         
72092790 0.5-1.0 1251-1400 1300-3000 55.630
72092610 1.01-2.0 850-1250 1300-3000 31.750
72092690 1.01-2.0 1251-1400 1300-3000 44.450","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,23.12.2021,25.11.2022
KZ VN 1 110 12382,Палата предпринимателей Карагандинской области,«EAV»,1600584,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT DIP galvanized
COILS-OVERROLLING



","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,23.12.2021,18.11.2022
KZ VN 1 110 12383,Палата предпринимателей Карагандинской области,«EAV»,1600575,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","COLD ROLLED STEEL
COILS-SECONDARY



","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,23.12.2021,29.10.2022
KZ VN 1 110 12342,Палата предпринимателей Карагандинской области,«EAV»,1600582,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME ROLLED STEEL COILS
Size(mm)

0.50        1000     coil
0.58        1000     coil
1.35        1000     coil
0.98        1250     coil


","7209161000, 7209179001",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,30.10.2022
KZ VN 1 110 12341,Палата предпринимателей Карагандинской области,«EAV»,1600592,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL
SHEETS-Overrolling


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,31.10.2022
KZ VN 1 110 12333,Палата предпринимателей Карагандинской области,«EAV»,1600574,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  STEEL COILS-SECONDARY

Size(mm)

Thickness  Width     Length
1.5-2.3      830-1282   Coil    702.33
3.0-4.6      800-1500   Coil    857.09
4.75-10.0 1000-1500 Coil    280.34
 12.00              1500    Coil    110.96

HS CODE
72083990
72083800
72083700
72083600","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,01.11.2022
KZ VN 1 110 12335,Палата предпринимателей Карагандинской области,«EAV»,1600581,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  CHEQUERED
COILS-OVERROLLING



","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,02.11.2022
KZ VN 1 110 12334,Палата предпринимателей Карагандинской области,«EAV»,1600586,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED  CHEQUERED
COILS-SECONDARY



","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,03.11.2022
KZ VN 1 110 12337,Палата предпринимателей Карагандинской области,«EAV»,1600588,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED
SHEETS-Overrolling


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,04.11.2022
KZ VN 1 110 12338,Палата предпринимателей Карагандинской области,«EAV»,1600589,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED
SHEETS-SECONDARY


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,05.11.2022
KZ VN 1 110 12336,Палата предпринимателей Карагандинской области,«EAV»,1600587,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED
SHEETS-SECONDARY


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,06.11.2022
KZ VN 1 110 12339,Палата предпринимателей Карагандинской области,«EAV»,1600590,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED
CHEQUERED
SHEETS-SECONDARY


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,07.11.2022
KZ VN 1 110 12343,Палата предпринимателей Карагандинской области,«EAV»,1600585,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","PRIME ROLLED STEEL COILS
Size(mm)

0.50        1250     coil
0.60        1250     coil
1.00        1250     coil
2.00        1250     coil


","7209161000, 7209179001",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,08.11.2022
KZ VN 1 110 12340,Палата предпринимателей Карагандинской области,«EAV»,1600591,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL
SHEETS-OVERROLLING


","7208390000, 7208380000",PSR,Республика Казахстан,Вьетнам,Истек срок действия сертификата,22.12.2021,09.11.2022
